date,star_rating,header,body
2025-07-07,1,Misleading claim of “All fees included”,"The upfront claim that prices shown would include all fees was wrong. (I understand that taxes would be additional). A displayed price for 4 nights in Atlanta was NOT inclusive of fees, and when I attempted to reserve the property an Airbnb fee appeared. The result was that an estimated $1400 total with taxes became $1600 I did not book.
 A series of chats provided no relief. I felt that a waiver of the Airbnb fee was warranted but, apparently, there is no mechanism at Airbnb to allow this. I notice that since my chats, the property’s displayed pricing has been corrected.
Poor response to my inquiry. I should note that this mis-step is Airbnb’s fault, not the host’s."
2025-07-07,1,Airbnb / Host communication = complete joke. ,"I booked an apartment on March 16th for September 5th–11th in Dubrovnik. Unfortunately, due to circumstances in my family, I couldn’t go. I asked for a full refund two months before my stay, which I think is more than enough time for the host to find new guests. I paid €640 in March, but all I got back was €278 — I lost almost €400 for something the host had nothing to do with, but also did nothing to help with.

I tried to contact the host many times and explained my situation — no answer. I even tried to call him, but the phone number he gave to Airbnb wasn’t real. He says guests can email him, but there’s no email address to write to — complete joke. Even Airbnb support tried to reach him and he didn’t respond. This shows how unprofessional this host (and honestly the platform) can be. Bookingdotcom has better options and policies for fair refunds — I don’t understand how something like this is allowed here. I do not recommend booking with this host/platform. "
2025-07-07,1,Airbnb He abandoned me along with the host ,"Hello! I made a reservation on Airbnb in March for my trip to London in June. Coming from Brazil, my first country was Turkey. One day before my flight to London, the host canceled. I was abandoned .Alone like garbage! The host didn't even have the decency to let me know, I called because grandma didn't call me and I was already arriving. The host is Henry and Carol, in front of the Harrords store in London.Cozy pod is the name of the ad and today I looked and it was advertised there again. I want to be reimbursed for the amount that I had to pay much more expensive in another place and the shock I felt I will never forget. How much I I was shaking. I didn't even have the right to cry, because I needed to find a place. Everyone knows how expensive and difficult London is to find. I did it through booking because I lost confidence in Airbnb."
2025-07-07,1,No longer good for hosting…,"If you are considering letting your property via Airbnb, probably better to go with a competitor such as booking.com

Customer services lack common sense and profit margins are always placed to head of customer service 

They've also just changed their cancellation period without any consultation with hosts.

Will be moving to a competitor platform for future reservations."
2025-07-07,1,Airbnb Allowed Dangerous Guest and Refuses to Remove His Review,"As an Airbnb host, I was put in a terrifying situation. A guest named Ali booked my property for 3–5 June 2025. Just before his arrival, I discovered he had a criminal record including a murder conviction. I reported this immediately to Airbnb.

After hours of delay, Airbnb confirmed the threat and cancelled his booking, arranging alternative accommodation. However, despite their own safety decision, they are now refusing to remove his review — a review from someone they deemed too dangerous to stay in my home.

I feel unsupported, unsafe, and punished for doing the right thing. I urge Airbnb to fix this, remove the review, and take accountability for endangering hosts like me."
2025-07-07,1,Joke of a company,"I am a superhost and Airbnb just teases you with rewards that never happen.

Been sent the same coupon for 2 different evaluation periods. Absolute joke of a company.
nobody has answers. JOKE"
2025-07-07,1,The picture on ABNB website does not…,"The picture on ABNB website does not match what we walked into. The sofa was cracked and dirty. The house was filthy, mole on the shower curtain, in two bathrooms. The beds in two bedrooms had wood underneath the mattress making sleeping very uncomfortable. The outside kitchen which appeared beautiful in the pictures was not functioning. There was trash thrown on the side of the house. The host Valerie was very rude. She ask us to vacate to property. We were all seniors with no place to move. Then the ABNB support agreed with the Host after we submitted pictures to them. I’m done with AirBnb never again. Then the host responded with fake reviews to say the property was wonderful. Ha Ha Hope people look further if there is one bad review believe it. "
2025-07-07,1,Really poor customer service,"Really poor customer service. They cannot provide a simple receipt for a stay (I have been given 4 for my latest stay, based on three payments and a VAT receipt for the fees only). They are an absolute joke. "
2025-07-07,1,Trustpilot отзыв:AIRBNB ignored evidence and braked my reputation ,"Trustpilot отзыв:

I have been a loyal Airbnb Superhost for many years with over 130 five-star reviews and a proven record of guest satisfaction.

Recently, I faced a deeply unfair situation that completely shattered my trust in Airbnb’s system. A guest entered my apartment on the wrong date due to her own mistake, which is fully documented in Airbnb’s messaging system. Despite her clear responsibility, she blamed me in her public review.

What is worse, the guest contacted me via private WhatsApp messages and sent her PayPal payment request while simultaneously making additional complaints. This was a clear case of financial pressure and coercion outside the Airbnb platform. I provided all the evidence, including screenshots, proving this guest’s unethical behavior.

However, Airbnb rejected my appeal automatically, within seconds, without allowing me to defend myself properly or speak to anyone from the decision-making team. It was obvious that no real human reviewed my case.

I tried multiple times to escalate the situation, to talk to Senior Management, but I was blocked at every step. I was told that “the decision cannot be reversed” even though I had undeniable proof.

After years of working hard to maintain my Superhost status and offer the best possible guest experience, Airbnb simply destroyed my reputation by ignoring the facts.

Airbnb no longer protects its Superhosts. The platform now prioritizes unjust guest reviews, even when they are provably false and financially coercive.

This is a shocking and devastating experience that I never expected from Airbnb.
"
2025-07-07,2,Refund Pending,"I’m extremely frustrated with Airbnb. My friends and I booked a stay in Polperro for July 19–20 with a host named LUCA. The payment was processed, but then the host declined our request because she doesn’t accept ONE-NIGHT reservations—something that should’ve been clearly stated in the listing upfront. Now our money is on hold, and we’re unable to book another place. Most listings are filling up quickly, and we’re stuck. The whole process feels really unfair—if a host needs to approve a stay, that should happen before any payment is taken. Airbnb’s only response has been to tell us to WAIT, which is incredibly frustrating."
2025-07-07,1,Newly refurbished - no chance! ,"Newly refurbished? Yes 10 years ago maybe! We are appalled at how we were treated both through air BnB and the hosts. The property didn’t not match the pictures on the booking. We raised the issues on day 1 of the trip and the host tried to send somone out to sort it, however they could not sort the problems. Stained headboard, broken bed which a panel fell on my mums leg. We went away as a family for my brothers wedding with babies and our dog which the listing clearly stated pets were allowed (at no extra charge or authorisation needed). Air BnB have been no help as they stated we should have made air BnB aware on day one so they could move us. We could not be moved or have the time do this as mentioned we had babies and were there for my brothers wedding so we couldn’t just leave the wedding to be moved houses - it’s completely impractical. I have picture evidence of everything including WhatsApp messages proving we notified the host of all the issues immediately. The house was not maintained and was quite frankly filthy to the point we had to clean it and sleep on top of sleeping bags on the bed. I have left a bad review on the hosts which has now resulted in them leaving a bed review about us - which is laughable. The whole process is floored and we were only refunded £125 cleaning fee, out of the £1,200 we wait. It’s honestly a joke. I use Airbnb all the time and the one time we have had a problem it’s not gone against us. It’s caused nothing but stress and upset and ruined what was supposed to be a lovely weekend celebrating a wedding. I would love to upload the pictures for other guests to be aware of but surprisingly you can’t!!!! 
Avoid Anna & John hosts who supposedly are from London - now living in wales. Also a lie they told us they now live in Australia. Just money for them no care in their actual properties. 
The house was stayed at sleeps up to 13 people in Treforest Wales. 
As a proclaimed family not sure how they sleep at night tbh! "
2025-07-07,1,I ended up in some sort of brothel,I ended up in some sort of brothel. Airbnb support was not supportive at all. They showed no empathy and talked about fixing the plumbing issue instead. Zero stars!
2025-07-07,1,Horrible Cancellation Policy,"I booked a place and eight days later, two weeks before I was booked to stay, I had to cancel for an illness in the family. Airbnb did nothing to assist. They leave it up to the host and support the hosts decision as to whether or not you will get a refund. The worst part is the host can book someone else for the same days that I already paid for. So even if someone else books the same days, the host and Airbnb keep the money from both transactions. I am closing my account."
2025-07-07,1,The worst company by far!,"The worst company by far! It feels like it's run by clueless teenagers who are just reading off a script. I sent evidence that the room I booked in a shared flat was entered into without my knowledge and consent by three different people on top of a range of other issues, which was acknowledged by the call handler who told me it's wrong. Then they spent 3 days ''investigating'' asking me to repeat everything all over again to 3 different people, mad a decision taking the host's side and couldn't even bother to explain why. I'm just given their decision and the case is closed. They communicate through links. The link to their T&C states unauthorised entry into the rented premises is prohibited. Yet, they rule out in favour of the host with no explanation whatsoever. I won't even begin to describe the other issues which made me leave the place earlier losing money which they won't recover from the host. Their protection is non-existent. There's no cover, no insurance. You're on your own. It's all just a smoke screen. This is not the first issue I've had with Air Bnb over the years. But it is definitely the last as I'll never use Air Bnb again. Horrific!"
2025-07-07,1,Airbnb give more support to the guests than to the hosts ,"Im Airbnb host and I can literally say that Airbnb only care about guests. When the subject is being a host they don’t care much as they care to guess. 
I will give you an example. I had a guest that left my front door unlocked from 1:30am till I got home at 3:00pm. I wrote on guest profile review, I called Airbnb and they told me that my review is under review. 
I can’t believe that this company besides of give more assistance to guests, they need to approve a safety matter review. Unbelievable, disrespectful and unprofessional. "
2025-07-06,1,Awful ‘service’ from Airbnb,"Terrible ‘service’ from Airbnb.  We stayed in a guest house that had no hot water - amongst other things and they would only refund me 10%.  They were going to give me another £10, but because I escalated the matter - (as I wanted a refund), they said they would not honour the £10 and I could only get 10% off the price."
2025-07-06,1,Booked two places to stay ,"Booked two places to stay , paid through Paypal, got emails saying the hosts could not accommodate my stay , then have to wait a week for a refund . "
2025-07-06,1,Air BNB is Terrible!!!!!,"I have been using air bnb for years….over 27 stays and have never had a problem until now. I rented a place and had nothing but problems from the start. I wish we could put in pictures to show the justice. I walked into the home and immediately the first thing I saw was overgrown grass up to my 6 foot tall husband’s waist into the stomach with abandoned shopping carts everywhere. They said we would have use of a patio that was a lie. The entire property wreaked like animal urine, and you could see spots on the carpet and on the couch, where there was obvious animal urine. Outside of that there was food left in the sink. There was food left in the microwave. The entire floor was gross. I believe this just touches the surface of everything that I encountered and that my children were forced to sleep in the animal Urine smell because I was told by the host to just use for breeze we didn’t get in until 11:30 PM so we had no choice but to sleep there. Another thing we were not told is you could hear every movement going through the house so nobody got any sleep. I contacted Airbnb immediately at 5 AM the next morning. I went on for days with Airbnb, trying to get a refund I was told at one point I would receive a refund I didn’t. I was told to leave the property immediately that morning, and I would get a refund which I left the property and still again no refund at the very beginning of our trip I had to come out another $700 just to find last-minute housing for me and my family finally after days of arguing with Airbnb they only refunded me half of what I paid for the week of the Airbnb, which they didn’t even want to do that. The only reason they did was because what they claimed was an employee that was not qualified to told me that I would get a refund. I went to the highest person at Airbnb. I am very, very disgusted and overall dissatisfied and will not be using Airbnb again. I will be using VRBO and Expedia rentals. My renter was nothing that was described in the pictures. The smell was unbearable and a health hazard to my children and Airbnb refused to do nothing about it but give me half of a refund only because somebody messed up and told me they would otherwise I was told by air B and B I would not have gotten a refund. Very disappointed and unsatisfied to say the least beware of any Airbnb‘s that you get because Airbnb will not cover you."
2025-07-06,1,RIP off,"Literally they are taking the mickey
They started with a reasonable commission and now they’re your 50% business partner. 
It’s your house, you wash the bedding, you clean the house, you do the communication, you host the guests and Airbnb takes the half if your earning. 
Look somewhere else I’d say. Plenty options "
2025-07-06,1, Poor Customer Support and Overpriced,"I’ve used Airbnb multiple times over the years, but my recent experience has completely put me off. When things go wrong, Airbnb does not have your back. I had an issue with a listing that was completely misrepresented – dirty, unsafe, and nothing like the photos – and Airbnb’s support team was slow, unhelpful, and clearly more interested in protecting the host than solving the problem.

Trying to get a refund or even proper communication was like pulling teeth. They talk a big game about “trust and safety,” but when you’re actually in a bad situation, you’re left to fend for yourself.

What’s worse, Airbnb has become ridiculously overpriced. Cleaning fees, service fees, and vague cancellation policies make the final cost far higher than expected. I’ve since tried other platforms that are not only cheaper but actually care about their customers when issues arise.

I won’t be using Airbnb again – there are better, more transparent alternatives out there."
2025-07-05,1,Terrible customer service,"I've been a loyal Airbnb user for nearly a decade, but recent experiences have left me deeply disappointed.

First, I accidentally made a booking and attempted to cancel it within seconds. Despite the immediate action, I lost nearly £3,000 due to Airbnb’s rigid cancellation process. The user interface is confusing and lacks clear warnings for high-value transactions—something that should be a basic standard for any platform handling large sums. Airbnb offered no meaningful support or resolution.

Second, I paid for a trip in pounds but was refunded in Airbnb booking credits—without any clear explanation or consent. I wasn’t even aware of what booking credits were at the time. Once again, Airbnb refused to assist or offer a fair resolution.

These experiences reflect the worst customer service I’ve encountered in over 10 years of using online platforms. Airbnb’s lack of transparency, inflexible policies, and unhelpful support have eroded my trust in a brand I once valued."
2025-07-05,1,"Needs more consistent search results, profile badges, and user permissions","Airbnb needs to:
- Have more consistent search experiences (Doesn't show my listing when the ""Instant Book"" filter is on, even though I have ""Instant Book"" enabled

- Have consistent listing badges (It shows ""4 min walk to Lake"" for my competitors in the exact same building but shows ""6 min walk to Lake"" for me? This isn't fair

- Allow hosts to opt out of Early Access Features/ Beta Program (You can opt in but cant opt out?)"
2025-07-05,1,Air BnB reviews are all fake,"Air BnB reviews are all fake. We have a 1 star but air BnB changed it completely SCAM

Don't trust them stayed in a house in Suffolk windows were shout sealed couldn't open any weather conditions extremely hot very dangerous for someone who has asthma or breathing issues as well as fire case of the house did catch a fire.

Friends car was keyed also so guessing the area is a unsafe. Wrot e a review argued my case with air BnB and guess what they changed my review completely to what I said.DO NOT TRUST AIR BNB REVIEWS GUYS ITS ALL A SCAM "
2025-07-05,1,"Unsafe Stay, Misleading Listing – Airbnb Removed My Review","My friend booked the ""Seaside Luxury House on the Suffolk Coast"", hosted by Tim and Lucy, through Airbnb — and it turned into a nightmare.

My friend’s car was vandalised overnight while parked on the street outside the property. This made us feel unsafe in the area.

Worse, all the windows in the house were screwed shut. We stayed during 30°C heat, and without any way to ventilate the house, it became extremely hot and humid. This made the stay deeply uncomfortable and unsuitable for sleeping or relaxing.

I left a 1-star review on Airbnb describing the experience truthfully. Airbnb removed my review and the listing still shows 5 stars, which is completely misleading and dishonest. It feels like Airbnb protects hosts, even when guest safety and comfort are clearly at risk.

Airbnb should be ashamed of how this was handled. Guests deserve honesty and safety — not censorship."
2025-07-05,1,Shady Airbnb  After being a super host for 8 years o…,After being a super host for 8 years o no longer will be a part of such a shady company 
2025-07-04,1,One of the Worst Airbnb Experiences Ever – Safety Nightmare and Total Scam,"The property we stayed at is an absolute disgrace and a ticking time bomb of safety hazards. Most alarming was the padlock on the back deck gate, which meant there was only one exit through the front door. In an emergency like a fire, we could have been trapped and killed inside. When I raised this very real and obvious safety issue with the host, my concern was flat-out ignored. This is likely a blatant violation of the fire code and the short-term rental ordinance of Pagosa Springs.

To make matters worse, there were multiple surveillance cameras installed around the property—some shockingly aimed directly into private living spaces like bedrooms and the living room. This is a massive invasion of privacy and absolutely unacceptable.

One upstairs bedroom had a rough, unfinished wood floor with exposed nails—combined with the house’s “shoes off” policy, this was a recipe for injuries. One of our guests found out the hard way with cuts and splinters.

The kitchen was another horror show. The “non-stick” cookware had lost all its coating, meaning anyone cooking with it was being poisoned with PFAS chemicals—known carcinogens linked to cancer. The grill was filthy and caked with grease, completely unusable and a major fire hazard. Thank goodness we checked it before trying to light it.

There was also a cracked ceramic tile in the kitchen with razor-sharp edges, creating yet another spot where you had to wear shoes indoors for basic safety.

The so-called “game room” was a pathetic joke—after cramming in the ping pong and shuffleboard tables, there were only inches left for a person to squeeze in, rendering these amenities completely useless.

In the primary bedroom, there were no bedside lamps, forcing us to stumble around in the dark to find wall switches every night.

When we arrived, the home was stifling and smelled off, with an indoor temperature of 90 degrees. It took hours to cool it down to 75, and with no cooling upstairs, those rooms were basically uninhabitable during the day and well into the night.

The host, VIP Vacation Services in Pagosa Springs, was the worst part. They ignored safety concerns, insisted on communicating outside of Airbnb, and demanded additional payments outside the platform—both clear violations of Airbnb’s policies.

Airbnb support has been a complete joke in trying to resolve these issues, offering no meaningful solution so far. This property should not be listed on Airbnb or anywhere else until these major safety, health, and habitability issues are fixed. Rent at your own risk—you’ve been warned."
2025-07-04,1,Unsafe conditions,"Unsafe conditions, mold, and poor support — AirCover failed me

I stayed at an Airbnb where water was leaking from the ceiling onto the bed and visible black mold was growing in the HVAC vent above me. I reported the issue immediately after arrival, but had no safe option to leave right away — it was late at night, the neighborhood was unsafe, and I had no alternative accommodation.

Despite reporting this under AirCover, I received only a partial refund, even though the place was clearly unfit for living. I had to sleep one night under these conditions only because I had no other choice. I was deeply concerned for my health, and my dog developed breathing problems after this stay.

Support was slow, and in the end, they said a full refund was “not possible,” even though I followed all the steps required by Airbnb’s policies. This was a clear failure of the AirCover guarantee, and it left me feeling dismissed and unsupported.

If Airbnb really values guest safety, they should have handled this very differently. I do not feel protected, and I now question whether I can trust the platform at all.
"
2025-07-04,1,Left without accommodation before flight — no support,"My Airbnb reservation was canceled by the host after the stay had already started. I was traveling with children and expected Airbnb to handle the situation responsibly.

Unfortunately, Airbnb failed to provide a confirmed replacement or follow their own guest protection policy. I received only a $300 coupon and no guaranteed alternative. I still have no place to stay, and my flight is tomorrow.

This was my first Airbnb booking, and it turned into a deeply stressful and disappointing experience. I hope Airbnb improves how it handles urgent cancellations like this one."
2025-07-04,1,Website glitch would not allow transaction completion. …,"Website will not complete transaction for reservation, although credit card company approved 5 times, customer service are in denial that there is an issue or would help me to complete the reservation, spent over an hour on phone with them.
Airbnb used to be so good - what happened to them?"
2025-07-04,1,Stayed in what was supposed to be 5 star  ,"Stayed in what was supposed to be a super host 5 star accommodation described by Air B and B in Hollow cottage Doolin co Clare. The house was dirty and not near the village as described. When I went back to Air B and B looking for compensation although the people I spoke to were polite the whole system is ridiculous, I don't know how many times I had to ring and I resend the pictures. I would urge anyone to read the small print re refunds before you book with them, and really I would suggest not using them at all. Although I received a minimum refund from the host it did not reflect the awful stay we had. I was told I should have left the place and try and find new accommodation when I was in Doolin to attend my nieces wedding and there was no other accommodation available. Clearly as a business they don't really care about peoples reviews and experiences. I do feel sorry for the genuine super hosts that put so much effort into making their accommodation good when there are other like we had that Air B and B claim is 5 star when I wouldn't rate is as even one star. I would love to be able to show the pictures I took so everyone could see what I mean but they don't even give you that chance. All in all I will never use them again to book accommodation.        "
2025-07-04,1,Falsely Accused by Airbnb Host – 3 Years Without Justice or Support,"I’m writing this after nearly three years of trying to resolve a completely false and damaging accusation made by an Airbnb host, and once again, Airbnb’s customer support has shut down the conversation without providing any real help.

During a group trip, the host accused me and my guests of watching adult content on their television — a completely false and unfounded claim. Even more disturbing is how the host manipulated the platform by writing “P orn” (with a space) in the review to bypass Airbnb’s moderation system. Despite this clear manipulation and the fact that the accusation is baseless, the review remains on the platform.

To make matters worse, I was removed from the trip after the stay, which prevented me from leaving my own review or responding publicly to defend myself. I lost my right to reply, while the host was allowed to publicly attack my character.

I contacted Airbnb support multiple times over the past three years. Each time, I carefully explained the situation and submitted evidence. The response has always been the same: “We consider the case closed.” No real review, no fair process, no support for the guest — just a dead-end.

The host’s accusation is not just petty — it is harmful, embarrassing, and untrue. It has affected my reputation on the platform and caused me enormous frustration. It’s shocking that Airbnb allows hosts to make defamatory claims without proof, and then silences the guest who is trying to respond.

I’ve always used Airbnb with respect and followed the rules. I never expected to be treated this way — not just by a dishonest host, but by a platform that claims to “build trust” and “support the community.”

After years of being ignored, I’m sharing my story here in hopes that someone will listen. Airbnb must be held accountable when it fails to protect its users from false accusations and one-sided reviews. A platform that promotes “community” should ensure fairness — not silence the victims.
"
2025-07-04,1,When the description is not what you…,"When the description is not what you get.
When someone describes their internet as speed of 47 but when you arrive the speed is 8 also when it is described as a property you can smoke at but the owner requests that you don’t smoke in there, it is not as described.… Airbnb traps you with a terrible 😣 refund policy even though the credit company has offered to take over. It’s a total hassle.
Will never use Airbnb again, never had a problem like that with booking.com or any other site."
2025-07-04,1,"Betsy the retro caravan in Dundee, bad hosts on airbnb","Booked ""Betsy the retro caravan in the woods"" in Angus, Scotland with the host Sally Marie in March this year for the 5th of July. The host knew it was for 2 festival goers and that the festival closes at 11pm. They asked tonight, the day before the booking what time we'd arrive only to state they didn't want my custom as there would be 2 cars as one guest is from Aberdeen and she was going to meet us there & I am from Glasgow. They stated they didn't want us coming back in the early hours as we'd ""rouse"" the guard dogs and other guests. There was only 2 people staying there as per the rules which wouldn't have been broken by us. They knew we'd be getting back late anyway as we are attending a festival. I've had to cancel the booking the night before we were due to stay because this host didn't state there was a curfew.
No where on their listing do they state the type of guests they wanted nor did they say parking was limited.

Is discrimination over the type of guests we are and their hosts communication is terrible. I did try and speak with them in march only to be told speak nearer the time.

So now I'm left with one day to find alternative accommodation for 2 people.

They have stated we are not the sort of guests they want as we'd annoy other guests and the animals because we'd be getting back in the early morning, probably around 6am due to attending an club night then visiting a friend, it's discrimination not wanting two 40 year old women because we will attend a festival then a night club.

If they wanted tea drinking oaps and the sort of customers that prefer watching antiques roadshow over visiting clubs they should state it on their listing.

Not happy with Airbnb and this useless host at all"
2025-07-04,1,horrible customer support,horrible customer support. They don't care about anything. Constant runaround. The host was a total jerk. 
2025-07-03,1,Cameras in our FILTHY ANT INFESTED…,"Cameras in our FILTHY ANT INFESTED Airbnb, can’t get through to them for ANY HELP AT ALL. Just around in circles saying they’ve given us credit when the account with credit has been blocked and can take upto 72 hours to fully be removed. Left six vulnerable girls in this situation where cameras are glowing red and constantly recording, we are all terrified and upset yet they can’t give us any resolution whatsoever. Shameful. "
